datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-12 03:55:00,BTCUSDT,81561.37900000,5657505158.35512100,20000978.00000000,1773287700000
2026-03-12 04:00:00,BTCUSDT,81565.82000000,5660671514.62767300,20000978.00000000,1773288000000
2026-03-12 04:05:00,BTCUSDT,81690.53900000,5680417550.07806900,20000978.00000000,1773288300000
2026-03-12 04:10:00,BTCUSDT,81711.68700000,5687403063.76710000,20000978.00000000,1773288600000
2026-03-12 04:15:00,BTCUSDT,81723.90400000,5683562455.19360000,20000978.00000000,1773288900000
2026-03-12 04:20:00,BTCUSDT,81704.10700000,5681932944.80070400,20000978.00000000,1773289200000
2026-03-12 04:25:00,BTCUSDT,81685.40200000,5672234314.88000000,20000978.00000000,1773289500000
2026-03-12 04:30:00,BTCUSDT,81679.55100000,5672315183.46642000,20000978.00000000,1773289800000
2026-03-12 04:35:00,BTCUSDT,81664.46300000,5666387608.25183100,20000978.00000000,1773290100000
2026-03-12 04:40:00,BTCUSDT,81662.39200000,5665969527.91579900,20000978.00000000,1773290400000
2026-03-12 04:45:00,BTCUSDT,81663.71600000,5663101047.96560000,20000978.00000000,1773290700000
2026-03-12 04:50:00,BTCUSDT,81663.70700000,5663574857.43680000,20000978.00000000,1773291000000
2026-03-12 04:55:00,BTCUSDT,81676.10900000,5664286641.61458100,20000978.00000000,1773291300000
2026-03-12 05:00:00,BTCUSDT,81678.65200000,5663009643.38560000,20000978.00000000,1773291600000
2026-03-12 05:05:00,BTCUSDT,81699.25500000,5665974634.42499600,20000978.00000000,1773291900000
2026-03-12 05:10:00,BTCUSDT,81722.37900000,5671369657.84200000,20000978.00000000,1773292200000
2026-03-12 05:15:00,BTCUSDT,81719.97500000,5664632539.06000000,20000978.00000000,1773292500000
2026-03-12 05:20:00,BTCUSDT,81718.60900000,5668239704.20610000,20000978.00000000,1773292800000
2026-03-12 05:25:00,BTCUSDT,81678.65200000,5655212632.41087700,20000978.00000000,1773293100000
2026-03-12 05:30:00,BTCUSDT,81347.06000000,5631412809.44183500,20000978.00000000,1773293400000
2026-03-12 05:35:00,BTCUSDT,81308.87700000,5637513752.63229900,20000978.00000000,1773293700000
2026-03-12 05:40:00,BTCUSDT,81261.38400000,5639665349.94340500,20000978.00000000,1773294000000
2026-03-12 05:45:00,BTCUSDT,81411.80100000,5656196363.21702800,20000978.00000000,1773294300000
2026-03-12 05:50:00,BTCUSDT,81396.30000000,5650490447.85000000,20000978.00000000,1773294600000
2026-03-12 05:55:00,BTCUSDT,81401.82100000,5649805236.73575400,20000978.00000000,1773294900000
2026-03-12 06:00:00,BTCUSDT,81451.49300000,5655719650.13261900,20000978.00000000,1773295200000
2026-03-12 06:05:00,BTCUSDT,81422.86500000,5651795912.10347700,20000978.00000000,1773295500000
2026-03-12 06:10:00,BTCUSDT,81439.51800000,5652252739.12740000,20000978.00000000,1773295800000
2026-03-12 06:15:00,BTCUSDT,81403.67800000,5651158207.40589600,20000978.00000000,1773296100000
2026-03-12 06:20:00,BTCUSDT,81387.27800000,5649790896.57080000,20000978.00000000,1773296400000
2026-03-12 06:25:00,BTCUSDT,81414.06900000,5651218704.87309200,20000978.00000000,1773296700000
2026-03-12 06:30:00,BTCUSDT,81451.11700000,5661087509.96103300,20000978.00000000,1773297000000
2026-03-12 06:35:00,BTCUSDT,81421.90000000,5657006341.63000000,20000978.00000000,1773297300000
2026-03-12 06:40:00,BTCUSDT,81399.19800000,5650384399.62457200,20000978.00000000,1773297600000
2026-03-12 06:45:00,BTCUSDT,81432.36300000,5655472283.02119700,20000978.00000000,1773297900000
2026-03-12 06:50:00,BTCUSDT,81409.84300000,5654304363.59640000,20000978.00000000,1773298200000
2026-03-12 06:55:00,BTCUSDT,81434.81600000,5657024219.59040000,20000978.00000000,1773298500000
2026-03-12 07:00:00,BTCUSDT,81366.41300000,5651344898.12150000,20000978.00000000,1773298800000
2026-03-12 07:05:00,BTCUSDT,81314.18500000,5648465466.76950000,20000978.00000000,1773299100000
2026-03-12 07:10:00,BTCUSDT,81337.30400000,5644930903.55600000,20000978.00000000,1773299400000
2026-03-12 07:15:00,BTCUSDT,81348.91500000,5651157586.16874500,20000978.00000000,1773299700000
2026-03-12 07:20:00,BTCUSDT,81350.05800000,5653537798.97112300,20000978.00000000,1773300000000
2026-03-12 07:25:00,BTCUSDT,81567.85700000,5672663163.62916850,20000978.00000000,1773300300000
2026-03-12 07:30:00,BTCUSDT,81597.73200000,5676493102.49760000,20000978.00000000,1773300600000
2026-03-12 07:35:00,BTCUSDT,81615.53300000,5688872295.99249300,20000978.00000000,1773300900000
2026-03-12 07:40:00,BTCUSDT,81870.94600000,5702229517.95400000,20000978.00000000,1773301200000
2026-03-12 07:45:00,BTCUSDT,81871.01000000,5702498501.90962100,20000978.00000000,1773301500000
2026-03-12 07:50:00,BTCUSDT,81793.63200000,5709710813.48160000,20000978.00000000,1773301800000
2026-03-12 07:55:00,BTCUSDT,81774.73800000,5707794937.66200000,20000978.00000000,1773302100000
